Source_File,Date_Added,Supermarket,Product_Category,Product_ID,Product_Name,Product_Price,Price_Per_Unit,Energy_kj_100_g,Fats_100_g,Carbs_100_g,Sugars_100_g,Protein_100_g,Salt_100_g
activia-yoghurt-aardbei-4-x-125-g-228598STK.html,2026-06-23 11:20:49.959428,Jumbo,Yoghurt,228598STK,Activia Yoghurt Aardbei 4 x 125 g,"Prijs: € 2,99 2 99","€ 5,98 per kilo 5,98 / kilo",372.0 kJ,2.8 g,12.0 g,11.7 g,3.7 g,0.13 g
activia-yoghurt-granen-4-x-125-g-302972STK.html,2026-06-23 11:20:50.004335,Jumbo,Yoghurt,302972STK,Activia Yoghurt Granen 4 x 125 g,"Prijs: € 2,99 2 99","€ 5,98 per kilo 5,98 / kilo",379.0 kJ,2.9 g,11.3 g,10.5 g,3.9 g,0.1 g
activia-yoghurt-muesli-4-x-125-g-302975STK.html,2026-06-23 11:20:50.055068,Jumbo,Yoghurt,302975STK,Activia Yoghurt Muesli 4 x 125 g,"Prijs: € 2,89 2 89","€ 5,78 per kilo 5,78 / kilo",392.0 kJ,2.9 g,12.0 g,10.7 g,3.9 g,0.1 g
activia-yoghurt-naturel-4-x-125-g-491422TUB.html,2026-06-23 11:20:50.098603,Jumbo,Yoghurt,491422TUB,Activia Yoghurt Naturel 4 x 125 g,"Prijs: € 2,39 2 39","€ 4,78 per kilo 4,78 / kilo",276.0 kJ,3.5 g,4.7 g,4.7 g,3.9 g,0.1 g
activia-yoghurt-pruim-4-x-125-g-709840PAK.html,2026-06-23 11:20:50.144389,Jumbo,Yoghurt,709840PAK,Activia Yoghurt Pruim 4 x 125 g,"Prijs: € 2,89 2 89","€ 5,78 per kilo 5,78 / kilo",414.0 kJ,3.4 g,12.9 g,12.0 g,3.4 g,0.1 g
activia-yoghurt-vanille-4-x-125g-463023POT.html,2026-06-23 11:20:50.187716,Jumbo,Yoghurt,463023POT,Activia Yoghurt Vanille 4 x 125g,"Prijs: € 2,39 2 39","€ 4,78 per kilo 4,78 / kilo",384.0 kJ,2.9 g,12.7 g,12.7 g,3.7 g,0.13 g
alle-aanbiedingen.html,2026-06-23 11:20:50.237378,Jumbo,Yoghurt,aanbiedingen,Yoghurt en skyr,"Prijs: € 1,89 1 89","€ 11,12 per kilo 11,12 / kilo",,,,,,
almhof-0-vet-yoghurt-aardbei-571377BKR.html,2026-06-23 11:20:50.282879,Jumbo,Yoghurt,571377BKR,Almhof 0% vet yoghurt aardbei,"Prijs: € 2,19 2 19","€ 4,38 per kilo 4,38 / kilo",284 kJ / 67 kcal,0 g,11.4 g,10.8 g,4.4 g,0.12 g
almhof-0-vet-yoghurt-perzik-maracuja-500-g-574414BKR.html,2026-06-23 11:20:50.325643,Jumbo,Yoghurt,574414BKR,Almhof 0% Vet Yoghurt Perzik Maracuja 500 g,"Prijs: € 1,95 1 95","€ 3,90 per kilo 3,90 / kilo",285 kJ / 67 kcal,0 g,"11,4 g","10,8 g","4,4 g","0,12 g"
"almhof-halfvolle-fruit-yoghurt-kers-1,3-vet-500-g-511649CUP.html",2026-06-23 11:20:50.371760,Jumbo,Yoghurt,511649CUP,"Almhof Halfvolle Fruit Yoghurt Kers 1,3% Vet 500 g","Prijs: € 2,19 2 19","€ 4,38 per kilo 4,38 / kilo",369 kJ / 87 kcal,1.3 g,13.4 g,12.6 g,4.6 g,0.16 g
