Source_File,Date_Added,Supermarket,Product_Category,Product_ID,Product_Name,Product_Price,Price_Per_Unit,Energy_kj_100_g,Fats_100_g,Carbs_100_g,Sugars_100_g,Protein_100_g,Salt_100_g
154058.json,2026-06-24 13:18:54.208717,Plus,Yoghurt,154058,Melkan Yoghurt snack banaan,1.49,7.45,405.0,3.3,13.2,11.3,3.4,0.15
155099.json,2026-06-24 13:18:54.208972,Plus,Yoghurt,155099,Campina Halfvolle milde yoghurt,1.89,1.89,206.0,1.5,3.8,3.8,4.0,0.11
155129.json,2026-06-24 13:18:54.209194,Plus,Yoghurt,155129,Campina Magere yoghurt,1.69,1.69,161.0,0.0,3.7,3.7,4.4,0.12
155170.json,2026-06-24 13:18:54.209402,Plus,Yoghurt,155170,Campina Vanille yoghurt,1.99,1.99,317.0,1.6,11.0,10.0,3.1,0.09
155323.json,2026-06-24 13:18:54.209592,Plus,Yoghurt,155323,Campina Volle yoghurt,1.95,1.95,262.0,3.1,3.7,3.7,3.9,0.11
155455.json,2026-06-24 13:18:54.209782,Plus,Yoghurt,155455,Campina Volle yoghurt,1.29,2.58,250.0,3.0,3.5,3.5,3.8,0.12
155463.json,2026-06-24 13:18:54.209974,Plus,Yoghurt,155463,Campina Magere yoghurt,1.19,2.38,167.0,0.0,4.0,4.0,4.7,0.14
155643.json,2026-06-24 13:18:54.210161,Plus,Yoghurt,155643,Melkan Yoghurt snack aardbei,1.49,7.45,369.0,3.1,12.1,11.0,2.6,0.125
159996.json,2026-06-24 13:18:54.210437,Plus,Yoghurt,159996,Zuivelmeester Volle yoghurt,1.38,1.38,265.0,3.0,4.0,4.0,3.9,0.11
160752.json,2026-06-24 13:18:54.210643,Plus,Yoghurt,160752,Melkan Griekse stijl yoghurt 10%,0.79,5.27,492.0,10.0,4.2,4.2,3.0,0.1
160882.json,2026-06-24 13:18:54.210840,Plus,Yoghurt,160882,Almhof Roeryoghurt naturel,1.89,3.78,303.0,3.5,5.1,5.1,4.3,0.15
169847.json,2026-06-24 13:18:54.211024,Plus,Yoghurt,169847,Optimel Yoghurt aardbei 0% vet,2.59,2.59,154.0,0.0,4.7,3.4,3.3,0.14
169871.json,2026-06-24 13:18:54.211223,Plus,Yoghurt,169871,Optimel Yoghurt perzik 0% vet,2.49,2.49,155.0,0.0,4.9,3.6,3.3,0.12
177684.json,2026-06-24 13:18:54.211414,Plus,Yoghurt,177684,Arla Skyr vanille yoghurt 0% vet XL,4.19,4.19,306.0,0.0,8.3,7.5,8.6,0.12
185931.json,2026-06-24 13:18:54.211602,Plus,Yoghurt,185931,Campina Yoghurt Griekse stijl naturel 2% vet,3.39,3.39,267.0,2.0,4.1,4.1,6.4,0.25
185983.json,2026-06-24 13:18:54.211792,Plus,Yoghurt,185983,Biologisch PLUS Magere yoghurt,1.49,1.49,153.0,0.4,4.0,4.0,4.1,0.12
185987.json,2026-06-24 13:18:54.211986,Plus,Yoghurt,185987,Biologisch PLUS Volle yoghurt,1.79,1.79,249.0,3.1,3.9,3.9,4.0,0.115
185989.json,2026-06-24 13:18:54.212193,Plus,Yoghurt,185989,Biologisch PLUS Milde halfvolle yoghurt biologisch,1.65,1.65,204.0,1.6,4.0,4.0,4.5,0.118
203732.json,2026-06-24 13:18:54.212394,Plus,Yoghurt,203732,PLUS Magere yoghurt,1.39,1.39,170.0,0.1,4.3,4.3,4.5,0.125
203734.json,2026-06-24 13:18:54.212584,Plus,Yoghurt,203734,PLUS Volle Yoghurt,1.69,1.69,255.0,3.0,3.7,3.7,3.9,0.11
203736.json,2026-06-24 13:18:54.212776,Plus,Yoghurt,203736,PLUS Halfvolle yoghurt,1.49,1.49,233.0,1.6,4.6,4.6,4.6,0.12
222661.json,2026-06-24 13:18:54.212973,Plus,Yoghurt,222661,Campina Griekse stijl yoghurt 10% vet,3.49,3.49,518.0,10.0,3.8,3.8,4.3,0.15
222822.json,2026-06-24 13:18:54.213151,Plus,Yoghurt,222822,Dodoni Griekse yoghurt 10%,4.99,4.99,,,,,,
222826.json,2026-06-24 13:18:54.213323,Plus,Yoghurt,222826,PLUS Griekse stijl yoghurt aardbei,1.15,7.67,365.0,3.0,9.6,9.1,4.1,0.14
223753.json,2026-06-24 13:18:54.213499,Plus,Yoghurt,223753,Dodoni Griekse yoghurt 0%,4.95,4.95,,,,,,
223755.json,2026-06-24 13:18:54.213666,Plus,Yoghurt,223755,Dodoni Griekse yoghurt 10%,1.49,8.76,520.0,10.0,2.9,2.9,5.9,0.18
225730.json,2026-06-24 13:18:54.213845,Plus,Yoghurt,225730,Arla Lactofree Griekse stijl yoghurt,2.19,4.87,437.0,8.0,4.2,4.2,3.5,0.13
229606.json,2026-06-24 13:18:54.214027,Plus,Yoghurt,229606,Nestlé Kit Kat yoghurt vanille,1.99,8.65,702.0,7.7,19.6,17.2,4.5,0.17
243408.json,2026-06-24 13:18:54.214215,Plus,Yoghurt,243408,"Melkan Griekse stijl 0,1%",0.79,5.27,175.0,0.1,4.9,4.9,5.2,0.11
249606.json,2026-06-24 13:18:54.214414,Plus,Yoghurt,249606,Almhof Hoekje Venetië pistache,1.49,9.93,635.0,6.0,19.0,17.9,4.6,0.16
284191.json,2026-06-24 13:18:54.214602,Plus,Yoghurt,284191,Arla Skyr aardbei yoghurt 0% vet,2.19,4.87,293.0,0.0,7.4,6.9,8.8,0.14
284193.json,2026-06-24 13:18:54.214789,Plus,Yoghurt,284193,Melkunie Protein yoghurt mango,1.79,8.95,299.0,0.6,5.5,5.1,10.0,0.11
284195.json,2026-06-24 13:18:54.214976,Plus,Yoghurt,284195,Melkunie Protein yoghurt aardbei,1.79,8.95,300.0,0.6,5.6,5.3,10.0,0.11
284445.json,2026-06-24 13:18:54.215156,Plus,Yoghurt,284445,Almhof Roomyoghurt Mumbai mango,2.59,5.18,578.0,8.1,12.9,12.4,2.7,0.09
287927.json,2026-06-24 13:18:54.215349,Plus,Yoghurt,287927,Optimel Yoghurt Griekse stijl vanille 0% vet,2.49,5.53,231.0,0.0,3.9,3.6,8.3,0.09
298242.json,2026-06-24 13:18:54.215533,Plus,Yoghurt,298242,BIO+ Griekse Stijl Yoghurt 10% Vet,2.99,2.99,515.0,10.0,4.0,4.0,4.5,0.2
